ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9783746795492; 3746795494,Blutende Liebe,5. Auflage,Berlin,epubli,2018,132,,,,"Nash, Bridget",,"Lyrik, Dramatik",ger,
9783746780214; 3746780217,"""Das Dinner der verborgenen Lüste"", ist der Sammelband zu diesen Geschichten/ Das Dinner der verborgenen Lüste",1. Auflage,Berlin,epubli,2018,56,,,,"Grau, Andrea",,"Lyrik, Dramatik",ger,
9783784434407; 3784434401,Das Leben ein Skandal,3. Auflage,Stuttgart,Langen-Müller,2018,288,"Fischer, Ottfried",,,,,Romanhafte Biographien,ger,
9783898013567; 3898013561,Das Leben schreibt Geschichten,,Zell/Mosel,Rhein-Mosel-Verlag,2018,208,"Becker, Edmund",,,,,Anthologie; Lyrik,ger,
9783752840629; 3752840625,Das waren Zeiten!,1. Auflage,Norderstedt,Books on Demand,2018,468,,,,"Tanwic, DoKo",,Romanhafte Biographien,ger,
9783752857856; 3752857854,Denke positiv!,2. Auflage,Norderstedt,Books on Demand,2018,112,,,,"Sunitsch, Nicole",,Lyrik,ger,
9783746634708; 3746634709,Der Ausflug der toten Mädchen und andere Erzählungen,1. Auflage,Berlin,Aufbau Taschenbuch,2018,150,"Seghers, Anna",,,,,Fiktionale Darstellung; Erzählende Literatur: Hauptwerk vor 1945,ger,
9783150089903,Der Kondor,,Ditzingen,Reclam,2018,77,"Stifter, Adalbert",,,"Stifter, Adalbert; Stifter, Adalbert",,Anthologie; Erzählende Literatur: Hauptwerk vor 1945,ger,
9783746743820; 3746743826,Der Kriegspilot,1. Auflage,Berlin,epubli,2018,64,,,,"Castell, Alexander",,"Lyrik, Dramatik",ger,
9783929433845; 3929433842,Der poetische Dreh,1. Auflage,"Weßling bei München, DE",Anton G. Leitner Verlag,2018,85,"Arzenheimer, Melanie; Leitner, Anton G.; Bhatt, Sujata; Kolbe, Uwe; Krausser, Helmut; Kunert, Günter; Maar, Paul; Rühm, Gerhard; Hummelt, Norbert; Minkwitz, Sabine; Bundi, Markus; Necker, Katja; Breitenbach, Anna; Schlüter, Manfred; Schweiggert, Alfons; Gutzschhahn, Uwe-Michael; Noga, Andreas","Arzenheimer, Melanie; Leitner, Anton G.",,,,Anthologie; Lyrik,ger; eng,
9783150111840; 3150111846,Deutsche Gedichte,Erweiterte Neuausgabe,Ditzingen,Reclam,2018,439,,"Bode, Dietrich",,,,Anthologie; Lyrik,ger,
9783000610875; 3000610871,D'Huimat leabe,1. Auflage,Reichertshofen,Dr. Elisabeth Kukral,2018,129,"Maurus, Kathi",,,,,Anthologie; Lyrik,ger,
9783745085099; 3745085094,Die Angst ist dein Feind,9. Auflage,Berlin,epubli,2018,616,,,,"Dee, Ana",,"Krimis, Thriller, Spionage; Lyrik, Dramatik",ger,
9783752888010; 3752888016,Die Anthologie zum dreißigsten Geburtstag der Deutschen Haiku-Gesellschaft,1. Auflage,Norderstedt,Books on Demand,2018,160,,,,"Haiku-Gesellschaft, Deutsche",,Lyrik,ger,
