"koerperschaft_name","koerperschaft_name_gnd","gnd_sachgruppe","name_flag"
"Khorshid-Verl.","Khorshid Verlag Dr. phil Karin Afshar e.Kfm.","Buchwissenschaft, Buchhandel","Verlag"
"Kid Verlag","Kid Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Kidemus","KIDEMUS GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Kiepenheuer & Witsch","Verlag Kiepenheuer & Witsch","Buchwissenschaft, Buchhandel","Verlag"
"Killroy Media","KILLROY media","Buchwissenschaft, Buchhandel",NULL
"Kindermund Verlag","Kindermund Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Kinzel","Manuela Kinzel Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Kinzelbach","Verlag Donata Kinzelbach","Buchwissenschaft, Buchhandel","Verlag"
"Kirchschlager","Verlag Kirchschlager","Buchwissenschaft, Buchhandel","Verlag"
"Kitab","Verlag KITAB","Buchwissenschaft, Buchhandel","Verlag"
"Klarant Verlag","Klarant UG","Buchwissenschaft, Buchhandel",NULL
"Klartext","Klartext Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Klaus Becker Verlag","Klaus Becker Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Klecks Verlag","KLECKS-VERLAG","Buchwissenschaft, Buchhandel","Verlag"
"Klett-Cotta","Klett-Cotta Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Klever Verlag","Klever Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Klever-Verl.","Klever Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Klimpke","Jürgen Klimpke (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Kloft","Christoph Kloft (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Klöpfer & Meyer","Klöpfer & Meyer","Buchwissenschaft, Buchhandel",NULL
"Knapp","Knapp Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Knaur Verlag","Knaur Taschenbuch","Buchwissenschaft, Buchhandel",NULL
"Knaus","Knaus","Buchwissenschaft, Buchhandel",NULL
"Koha","KOHA-Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Koinonia-Oriens e.V.","Patristisches Zentrum Koinonia-Oriens e.V.","Buchwissenschaft, Buchhandel","Verein"
"Kolme-K-Verl.","kolme k-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Kommode Verlag","Kommode Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Kommunal- und Schul-Verl.","Kommunal- und Schul-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Kontrast Verlag","KONTRAST-VERLAG","Buchwissenschaft, Buchhandel","Verlag"
"Kontrast-Verl.","KONTRAST-VERLAG","Buchwissenschaft, Buchhandel","Verlag"
"Konzepta, Agentur und Werbemittel","Konzepta - Agentur und Werbemittel GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Kooperative Dürnau","Verlag der Kooperative Dürnau","Buchwissenschaft, Buchhandel","Verlag"
"KopfKino-Verl.","KopfKino-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"KopfKino-Verlag","KopfKino-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Kosmos","Kosmos Verlag","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag"
"Krachkultur Verlag","Krachkultur","Buchwissenschaft, Buchhandel",NULL
"Kral Verlag","Kral Ges.m.b.H.","Buchwissenschaft, Buchhandel","Unternehmen"
"Kranich-Verl.","Kranich-Verlag (Zollikon)","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag"
"Kreisausschuss Odenwaldkreis, Kreisausschuss","Odenwaldkreis. Der Kreisausschuß","Buchwissenschaft, Buchhandel","Gemeinschaft"
"Kremayr & Scheriau","Verlag Kremayr & Scheriau","Buchwissenschaft, Buchhandel","Verlag"
"Krüger","FISCHER Krüger","Buchwissenschaft, Buchhandel",NULL
"Kuckuck & Straps im Lichtung-Verl.","Kuckuck & Straps","Buchwissenschaft, Buchhandel",NULL
"Kulmbacher Literaturverein","Kulmbacher Literaturverein","Gruppe, Organisationssoziologie, Interaktion; Literarisches Leben; Buchwissenschaft, Buchhandel","Verein"
"Kulturmaschinen Verlag","Kulturmaschinen e.K.","Buchwissenschaft, Buchhandel","Unternehmen"
"Kulturverl. Kadmos","Kulturverlag Kadmos Berlin","Buchwissenschaft, Buchhandel","Verlag"
"Kulturverlag Kadmos","Kulturverlag Kadmos Berlin","Buchwissenschaft, Buchhandel","Verlag"
"Kunst und Alltag","Verlag Kunst und Alltag","Buchwissenschaft, Buchhandel","Verlag"
"Kunstanstifter-Verl.","Kunstanstifter Verlag e.Kfr.","Buchwissenschaft, Buchhandel","Verlag"
"Kunsthaus-Verl.","KUNSTHAUS - VERLAG","Buchwissenschaft, Buchhandel","Verlag"
"Kunstmann Verlag","Verlag Antje Kunstmann","Buchwissenschaft, Buchhandel","Verlag"
"Kunstverl. Fink","Kunstverlag Josef Fink","Buchwissenschaft, Buchhandel; Bildende Kunst","Verlag"
"Kynos-Verl.","Kynos Verlag Dr. Dieter Fleig","Buchwissenschaft, Buchhandel","Verlag"
"Kyrene","Kyrene Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Königshausen & Neumann","Verlag Königshausen & Neumann","Buchwissenschaft, Buchhandel","Verlag"
"Kösel","Kösel-Verlag","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag"
"Köthe","Miriam Köthe (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Külzer-Schröder","Hans-Christoph Külzer-Schröder (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Künstlernische-Verl. Singer","Verlag künstlernische","Buchwissenschaft, Buchhandel","Verlag"
"Kürbis","edition kürbis","Buchwissenschaft, Buchhandel","Verlag"
"LINCOM GmbH","LINCOM Europa (München)","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel",NULL
"LOTUS PRESS","LOTUS-PRESS","Buchwissenschaft, Buchhandel",NULL
"Labonde","Heiner Labonde (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Lach","Otto Lach Verlagsanstalt","Buchwissenschaft, Buchhandel","Verlag"
"Lahn Verlag","Lahn-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Lamago-Verl.","Lamago Verlag e.K. Inh. Barbara Landes","Buchwissenschaft, Buchhandel","Verlag"
"Lamuv","Lamuv-Verlag (Göttingen)","Buchwissenschaft, Buchhandel","Verlag"
"Landbeck","Dr. Hanne Landbeck (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Landenberg","Landenberg-Druck AG","Buchwissenschaft, Buchhandel","Druckerei"
"Landhausverl.","Landhausverlag","Buchwissenschaft, Buchhandel","Verlag"
"Landhege-Verl.","Landhege Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Landtwing","Landtwing Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Landverlag","Landverlag","Buchwissenschaft, Buchhandel","Verlag"
"Langen Müller","Albert-Langen-Georg-Müller-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Langenscheidt","Langenscheidt KG","Buchwissenschaft, Buchhandel",NULL
"Langlhofer","Langlhofer Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Lappan","Lappan-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Larimar Verlag","Larimar-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Latos Verlag","Latos Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Laudatio-Verl.","Laudatio-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Lauerskreuzer Sommertage","Lauerskreuzer Sommertage","Buchwissenschaft, Buchhandel",NULL
"Laumann Verlag","Laumann Druck und Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Lauterblätter-Verl.","Lauterblätter Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Lebensgeschenke-Verl.","Lebensgeschenke-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Lebensweichen-Verl.","Lebensweichen-Verlag e.K.","Buchwissenschaft, Buchhandel","Verlag"
"Lehmweg Verlag","Lehmweg Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Lehnert Verlag","Ehrenhof-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Leinpfad Verlag","Leinpfad Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Leipziger Literaturverlag","Leipziger Literaturverlag","Buchwissenschaft, Buchhandel","Verlag"
"Leipziger Univ.-Verl.","Leipziger Universitätsverlag","Buchwissenschaft, Buchhandel","Verlag"
"Leipziger Universitätsverlag","Leipziger Universitätsverlag","Buchwissenschaft, Buchhandel","Verlag"
"Lektora Verlag","Lektora GmbH","Literaturgattung; Literarisches Leben; Buchwissenschaft, Buchhandel","Unternehmen"
"Lenos Verlag","Lenos Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Leonhard-Thurneysser-Verlag","Leonhard-Thurneysser-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Leonidas","LEONIDAS - Bücher wie du und ich","Buchwissenschaft, Buchhandel",NULL
"Lerato-Verl.","LERATO-VERLAG","Buchwissenschaft, Buchhandel","Verlag"
"Lermann","Dr. Gisela Lermann (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Leseratten Verlag","Leseratten Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Leseratten-Verl.","Leseratten Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Lesereich-Verlag","Lesereich-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Lettre International Verlags-GmbH","Lettre International","Buchwissenschaft, Buchhandel",NULL
"Leuenhagen & Paris","Leuenhagen & Paris","Buchwissenschaft, Buchhandel",NULL
"Lexikus Verlag","Lexikus Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Leykam","Leykam-Buchverlag","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag"
"Libelle Verlag","Libelle Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Liccaratur Verlag","Liccaratur-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Lichtland","Edition Lichtland","Buchwissenschaft, Buchhandel","Verlag"
"Lichtschlag Medien und Werbung","Lichtschlag Medien und Werbung KG","Buchwissenschaft, Buchhandel",NULL
"Lichtung Verlag","Lichtung Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Liebig","Liebig Verlagsgenossenschaft","Buchwissenschaft, Buchhandel","Verlag"
"Lilienfeld Verl.","Lilienfeld Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Liliom-Verl.","LILIOM Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Limbus Verlag","Limbus Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Limmat Verlag","Limmat Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Lindenstruth","Gerhard Lindenstruth (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Lindwurm Verlag","Lindwurm Verlag","Buchwissenschaft, Buchhandel","Verlag"
"List Verlag","Paul-List-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Literarisches Kolloquium Berlin","Literarisches Colloquium Berlin","Literarisches Leben; Buchwissenschaft, Buchhandel; Gruppe, Organisationssoziologie, Interaktion",NULL
"Literates","literates-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Literatur Quickie","Literatur Quickie","Buchwissenschaft, Buchhandel",NULL
"Literatur der Zukunft","Literatur der Zukunft","Buchwissenschaft, Buchhandel",NULL
"MAGENTA Verlag","MAGENTA Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Literatur-Planet","Literatur-Planet","Buchwissenschaft, Buchhandel",NULL
"Literaturca Verlag","Verlag Literaturca","Buchwissenschaft, Buchhandel","Verlag"
"Literaturedition Niederösterreich","Literaturedition Niederösterreich","Buchwissenschaft, Buchhandel","Verlag"
"Literaturhaus Berlin","Literaturhaus Berlin","Buchwissenschaft, Buchhandel; Literarisches Leben; Kultur, Künste allgemein",NULL
"Literaturverlag Droschl","Literaturverlag Droschl","Buchwissenschaft, Buchhandel","Verlag"
"Littera-Autoren-Verl.","Littera Autoren Verlag Curt Zimmermann","Buchwissenschaft, Buchhandel","Verlag"
"Llux Datenverarbeitung","Llux Agentur & Verlag e.K.","Buchwissenschaft, Buchhandel","Verlag"
"Loewenzahn","Löwenzahn Verlag in der Studienverlag GesmbH","Buchwissenschaft, Buchhandel","Verlag"
"Logo-Verl. Erfurth","Logo-Verlag Eric Erfurth","Buchwissenschaft, Buchhandel","Verlag"
"Logophon","Logophon Verlag und Bildungsreisen GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Longinus","Longinus","Buchwissenschaft, Buchhandel",NULL
"Lorbeer-Verlag","Lorbeer-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Luchterhand Literaturverlag","Luchterhand Literaturverlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Luftschacht Verlag","Luftschacht Verlag","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag"
"Lumpeter & Lasel","Lumpeter & Lasel","Buchwissenschaft, Buchhandel",NULL
"Lusatia-Verl.","Lusatia Verlag Dr. Stübner & Co. KG","Buchwissenschaft, Buchhandel","Verlag"
"Luther Verlag","Luther-Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Lutherische Verlagsgesellschaft","Lutherische Verlagsgesellschaft mbH","Buchwissenschaft, Buchhandel","Verlag"
"Lutrina Verlag","Lutrina Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Luxbooks","Luxbooks GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Luzifer-Verl.","Luzifer Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Lychatz Verlag","Lychatz Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Lyx Egmont","Egmont LYX","Buchwissenschaft, Buchhandel",NULL
"Löcker Verlag","Löcker-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Lübbe","Verlagsgruppe Lübbe","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag"
"MAIN Verlag","Main-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"MCC","MCC GmbH Luzern Schweiz","Buchwissenschaft, Buchhandel","Unternehmen"
"MCE Verlag","MCE Verlagsgesellschaft mbH & Co. KG","Buchwissenschaft, Buchhandel","Verlag"
"MZ Buchverlag","MZ Buchverlag","Buchwissenschaft, Buchhandel","Verlag"
"Machandel Verlag","Machandel-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Machiavelli Edition","Machiavelli edition","Buchwissenschaft, Buchhandel","Verlag"
"Machtwortverlag","Machtwortverlag","Buchwissenschaft, Buchhandel","Verlag"
"Mackingerverlag","Mackingerverlag Dr. Herbert Mackinger","Buchwissenschaft, Buchhandel","Verlag"
"Magic-Buchverl.","Magic Buchverlag","Buchwissenschaft, Buchhandel","Verlag"
"Magma-Verl.","Magma Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Mairisch-Verl.","mairisch Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Make a Book","Make a book","Buchwissenschaft, Buchhandel",NULL
"Malandro Verlag","Malandro Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Manesse Verlag","Manesse-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Manhattan","Manhattan Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Mantikore Verlag","Mantikore-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Manuela Kinzel Verlag","Manuela Kinzel Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Manuscriptum","Manuscriptum Verlagsbuchhandlung Thomas Hoof","Buchwissenschaft, Buchhandel","Verlag"
"Maracuja GmbH","Maracuja GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Marianne Kaindl","ABB-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Marianne Leim Verlag","Marianne Leim Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Maringo Verlag","Maringo Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Mariposa Verlag","Mariposa Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Marix-Verl.","marix Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Marixverlag","marix Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Marmilin-Verl.","Marmilin-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"MaroVerlag","MaroVerlag","Buchwissenschaft, Buchhandel","Verlag"
"Marta Press","MARTA PRESS","Buchwissenschaft, Buchhandel",NULL
"Marterpfahl Verlag","MARTERPFAHL Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Martini & Loersch Verlag","martini & loersch","Buchwissenschaft, Buchhandel",NULL
"Marzellen Verlag","Marzellen Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Masou-Verlag","MASOU Verlag UG","Buchwissenschaft, Buchhandel","Verlag"
"Mattes","Mattes Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Matthes & Seitz Berlin","MSB Matthes & Seitz Berlin Verlagsgesellschaft","Buchwissenschaft, Buchhandel","Verlag"
"Matthias-Grünewald-Verl.","Matthias-Grünewald-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Matussek","Matussek, Hans K., & Sohn oHG, Buchhandlung. Abt. Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Mauer Verlag","Mauer-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"McGinley Verlag","McGinley-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Mecke Verlag","Mecke-Druck und Verlag Inh. Helmut Mecke","Buchwissenschaft, Buchhandel","Verlag"
"Mecklenburger Buchverlag","Mecklenburger Buchverlag","Buchwissenschaft, Buchhandel","Verlag"
"Media Service Stuttgart","Media Service Stuttgart","Buchwissenschaft, Buchhandel",NULL
"Medien Agentur Czellnik","Medien Agentur","Buchwissenschaft, Buchhandel",NULL
"Medienhaus Rösemeier","Medienhaus Rösemeier OHG","Buchwissenschaft, Buchhandel","Unternehmen"
"Medu Verlag","MEDU VERLAG","Buchwissenschaft, Buchhandel","Verlag"
"Medusenblut","Medusenblut","Buchwissenschaft, Buchhandel",NULL
"Megalit-Verl.","Megalit Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Mein Verl.","Mein Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Memoiren-Verlag","Memoiren-Verlag Bauschke","Buchwissenschaft, Buchhandel","Verlag"
"Mentis","mentis Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Merkur Verlag","MVR-Merkur-Verlag (Rinteln)","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag"
"Merlin´s Bookshop","Merlin's Bookshop","Buchwissenschaft, Buchhandel",NULL
"Merquana","Merquana Verlag und Mediadesign","Buchwissenschaft, Buchhandel","Verlag"
"Merquana-Verl.","Merquana Verlag und Mediadesign","Buchwissenschaft, Buchhandel","Verlag"
"Merz & Solitude","merz & solitude","Buchwissenschaft, Buchhandel",NULL
"MetaGIS-Verl.","MetaGIS","Buchwissenschaft, Buchhandel",NULL
"Metrolit","Metrolit Verlag GmbH & Co. KG","Buchwissenschaft, Buchhandel","Verlag"
"Michaels-Verl.","Michaels Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Michason & May","Michason & May Verlagsgesellschaft UG","Buchwissenschaft, Buchhandel","Verlag"
"Michel-Verlag GmbH","Michel - Verlag KG","Buchwissenschaft, Buchhandel","Verlag"
"Midas","Midas Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Miko-Verl.","Miko-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Militzke","Militzke Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Mini-Verlag Meisterburg","Mini-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Minimal Trash Art","Minimal Trash Art","Buchwissenschaft, Buchhandel",NULL
"Mirabilis Verlag","Mirabilis Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Mironde-Verl.","Mironde-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Mischwesen","mischwesen","Buchwissenschaft, Buchhandel",NULL
"Misti-Verl.","Misti Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Mitteldeutscher Verlag","Mitteldeutscher Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Modestia-Verl.","Modestia Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Moewig","Moewig","Buchwissenschaft, Buchhandel",NULL
"Mohito Verlag","Mohito Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Mohl","Dr. Alexa Mohl (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Mohland Verlag","Mohland-Verlag Detlef Peters","Buchwissenschaft, Buchhandel","Verlag"
"Mokka","Edition Mokka","Buchwissenschaft, Buchhandel","Verlag"
"Moloko Print","Moloko Print","Buchwissenschaft, Buchhandel",NULL
"Momberger","Hans-Jürgen Momberger (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Mondwolf","Verlag Mondwolf","Buchwissenschaft, Buchhandel","Verlag"
"Monia-Verl.","Monia Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Monolith Verlag","Erika Range Monolith Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Monsenstein & Vannerdat","Verlagshaus Monsenstein & Vannerdat OHG","Buchwissenschaft, Buchhandel","Verlag"
"MontAurum","MontAurum","Buchwissenschaft, Buchhandel",NULL
"Montabella-Verl.","Montabella Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Morgana-Ed.","Morgana Edition","Buchwissenschaft, Buchhandel","Verlag"
"Morio Verlag","Morio Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Moritzberg Verlag","Moritzberg Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Morlant Verlag","Morlant Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Morre","Verlagshaus Morre GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Morsak Verlag","Morsak Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Moserbauer","Moserbauer Druck & Verlags-GmbH & Co KG","Buchwissenschaft, Buchhandel","Verlag"
"Motibooks.de","Motibooks","Buchwissenschaft, Buchhandel",NULL
"Muc Verlag","muc Verlag","Buchwissenschaft, Buchhandel","Verlag"
"MundoNet Publishers","MUNDOnet","Buchwissenschaft, Buchhandel",NULL
"Muschel","Muschel Verlag","Buchwissenschaft, Buchhandel","Verlag"
"MyStory-Verl.","MyStory Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Mylinfalklaem","Christel Tjoa und Klaus Mühlen GbR Mylinfalkläme Asperger Taschenbücher","Buchwissenschaft, Buchhandel","Unternehmen"
"Männerschwarm Verlag","Männerschwarm Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Möllmann","Christoph Möllmann (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Mönnig Verlag","Mönnig-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Münster Verlag","Münster Verlag (Zürich)","Buchwissenschaft, Buchhandel","Verlag"
"NIMBUS","Nimbus, Kunst und Bücher","Buchwissenschaft, Buchhandel",NULL
"NOEL-Verlag","NOEL-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"NORA Verlag","Nora Verlagsgemeinschaft UG","Buchwissenschaft, Buchhandel","Verlag"
"NOTschriften Verlag","Notschriften Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Nada-Autorenverl.","nADA Autorenverlag e.K.","Buchwissenschaft, Buchhandel","Verlag"
"Nagel & Kimche","Nagel & Kimche AG","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks",NULL
"Narr","Gunter-Narr-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Narthex-Buch","NARTHEX-Buch","Buchwissenschaft, Buchhandel",NULL
"Naumann & Göbel","Naumann & Göbel Verlagsgesellschaft","Buchwissenschaft, Buchhandel","Verlag"
"Neisse Verlag","Neisse Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Neisse-Verl.","Neisse Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Neißemünde-Verl.","Neißemünde-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Neofelis-Verl.","Neofelis Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Nepa-Verl.","NEPA Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Netteverlag","Netteverlag","Buchwissenschaft, Buchhandel","Verlag"
"Neue Erde","Neue Erde GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Neues Buch","Neues Buch Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Neukirchener Aussaat","Neukirchener Aussaat","Buchwissenschaft, Buchhandel",NULL
"Neukirchener Verlag","Neukirchener Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Neun9zig","Gunda Jaron und Rüdiger Kurock Verlag neun9zig","Buchwissenschaft, Buchhandel","Verlag"
"Nica-Verl.","Nica Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Niebank-Rusch-Fachverl.","Kay Niebank u. Stephan Rusch","Buchwissenschaft, Buchhandel",NULL
"Niederland Verlag","Niederland Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Niederlausitzer Verlag","Niederlausitzer Verlag, Guben","Buchwissenschaft, Buchhandel","Verlag"
"Nitzsche","Dr. Rainar Nitzsche (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"NoRa","Nora Verlagsgemeinschaft UG","Buchwissenschaft, Buchhandel","Verlag"
"Noel-Verlag","NOEL-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Nomen-Verl.","Nomen Verlag Joachim Schäfer","Buchwissenschaft, Buchhandel","Verlag"
"Nordpark Verlag","NORDPARK Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Nußrainer","Franz Nußrainer (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Nünnerich-Asmus Verlag & Media","Nünnerich-Asmus Verlag & Media GmbH","Buchwissenschaft, Buchhandel","Verlag"
"O.W. Barth","O.W. Barth","Buchwissenschaft, Buchhandel",NULL
"OFFIZIN Zürich Verlag","Offizin Zürich Verlag","Buchwissenschaft, Buchhandel","Verlag"
"OSL","OSL Verlag","Buchwissenschaft, Buchhandel","Verlag"
"OSTASIEN Verlag","OSTASIEN Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Oase-Verl.","Oase Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Oberbaum","Oberbaumverlag","Buchwissenschaft, Buchhandel","Verlag"
"Oberlausitzer Verlag","Oberlausitzer Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Odenwald-Verlag","ODENWALD VERLAG","Buchwissenschaft, Buchhandel","Verlag"
"Odenwaldkreis, Kreisausschuss","Odenwaldkreis. Der Kreisausschuß","Buchwissenschaft, Buchhandel","Gemeinschaft"
"Offizin Verlag","Offizin Zürich Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Ogham Verlag","Ogham Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Ohetaler Verlag","Ohetaler Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Ohetaler-Verl.","Ohetaler Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Oktober-Verl.","Oktober Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Oldigor-Verl.","Oldigor Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Olms","Edition Olms","Buchwissenschaft, Buchhandel","Verlag"
"Omniara","Omniara Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Omnium-Verl.","Omnium Verlag UG","Buchwissenschaft, Buchhandel","Verlag"
