Column1;author_username;author_url;text_id;url;text_title;medium_orig;fandom_categories;chapter_amount;creation_date;update_date;wordcount;genre;age_restriction;endorsement_amount;review_amount
7572;Sciurus;https://www.fanfiktion.de/u/Sciurus;4e00b81f0001674a0c907530;https://www.fanfiktion.de/s/4e00b81f0001674a0c907530/1/gedanken-konstrukte;gedanken.konstrukte;Prosa;Kurzgeschichten;13;21.06.2011;21.11.2012;2287;GeschichteAllgemein;P16;0;7
7573;tinte;https://www.fanfiktion.de/u/tinte;50ad0a2c0001cf2e0c907530;https://www.fanfiktion.de/s/50ad0a2c0001cf2e0c907530/1/Wie-es-geht;Wie es geht.;Prosa;Kurzgeschichten;1;21.11.2012;21.11.2012;306;KurzgeschichteDrama, Liebesgeschichte;P12;0;1
7574;Rice;https://www.fanfiktion.de/u/Rice;50ad002e0002a8e00c907530;https://www.fanfiktion.de/s/50ad002e0002a8e00c907530/1/Die-Traene;Die Träne;Prosa;Kurzgeschichten;1;21.11.2012;21.11.2012;293;KurzgeschichteFreundschaft, Schmerz/Trost;P12;0;0
7575;Rice;https://www.fanfiktion.de/u/Rice;50acffea0002a8e00c907530;https://www.fanfiktion.de/s/50acffea0002a8e00c907530/1/Zugunglueck;Zugunglück;Prosa;Kurzgeschichten;1;21.11.2012;21.11.2012;579;KurzgeschichteParodie, Poesie;P12;0;1
7576;Malfoy Manor;https://www.fanfiktion.de/u/Malfoy+Manor;50acd22500028fd90c907530;https://www.fanfiktion.de/s/50acd22500028fd90c907530/1/September-Morning;September Morning;Prosa;Kurzgeschichten;1;21.11.2012;21.11.2012;539;KurzgeschichtePoesie;P12;0;2
7577;White Wookie;https://www.fanfiktion.de/u/White+Wookie;50aca9730001b4f00c907530;https://www.fanfiktion.de/s/50aca9730001b4f00c907530/1/Fernanda;Fernanda;Prosa;Kurzgeschichten;1;21.11.2012;21.11.2012;527;GeschichteAllgemein;P6;1;2
7578;Thanos;https://www.fanfiktion.de/u/Thanos;50abacd90002a4ab0c907530;https://www.fanfiktion.de/s/50abacd90002a4ab0c907530/1/In-Farbe;In Farbe;Prosa;Kurzgeschichten;1;20.11.2012;20.11.2012;330;KurzgeschichtePoesie;P12;0;1
7579;funny-schoko-angel;https://www.fanfiktion.de/u/funny-schoko-angel;50aa848000021db40c907530;https://www.fanfiktion.de/s/50aa848000021db40c907530/1/Die-Klugges;Die Klugges;Prosa;Kurzgeschichten;1;19.11.2012;19.11.2012;597;GeschichteFamilie;P12;0;1
7580;Rice;https://www.fanfiktion.de/u/Rice;50aa11320002a8e00c907530;https://www.fanfiktion.de/s/50aa11320002a8e00c907530/1/Das-Auto;Das Auto;Prosa;Kurzgeschichten;1;19.11.2012;19.11.2012;682;KurzgeschichtePoesie, Freundschaft;P6;0;3
7581;MissCalenleya;https://www.fanfiktion.de/u/MissCalenleya;50a904140001f9130c907530;https://www.fanfiktion.de/s/50a904140001f9130c907530/1/Gegen-den-Strom;Gegen den Strom;Prosa;Kurzgeschichten;1;18.11.2012;18.11.2012;303;KurzgeschichteAllgemein;P12;0;1
